2025-12-05 02:56:28.238 | INFO     | [nexuts:register_instance:204] | [Register] sentry=test_sentry, instance=prefill_003, type=prefill 注册成功
2025-12-05 02:56:30.241 | INFO     | [Api.api:get_best_instance:72] | instances_status: {'prefill_001': True, 'prefill_002': True, 'prefill_003': True}
2025-12-05 02:56:30.241 | INFO     | [Api.api:get_best_instance:73] | instances_metrics: {'prefill_001': {'prealloc_queue': 0, 'infight_queue': 0, 'weighted_load': 0}, 'prefill_002': {'prealloc_queue': 0, 'infight_queue': 0, 'weighted_load': 0}, 'prefill_003': {'prealloc_queue': 0, 'infight_queue': 0, 'weighted_load': 0}}
2025-12-05 02:56:30.263 | INFO     | [Api.api:get_best_instance:72] | instances_status: {'prefill_001': True, 'prefill_002': True, 'prefill_003': True}
2025-12-05 02:56:30.263 | INFO     | [Api.api:get_best_instance:73] | instances_metrics: {'prefill_001': {'prealloc_queue': 8.0, 'infight_queue': 4.0, 'weighted_load': 5.199999999999999}, 'prefill_002': {'prealloc_queue': 4.0, 'infight_queue': 5.0, 'weighted_load': 4.7}, 'prefill_003': {'prealloc_queue': 4.0, 'infight_queue': 4.0, 'weighted_load': 4.0}}
2025-12-05 02:56:33.232 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 02:56:46.973 | INFO     | [persistence.snap_manager:take_snapshot:134] | snapshot_trigger_version:4 freeze_finish_version:1
2025-12-05 03:01:58.918 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-12-05 03:01:58.918 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
2025-12-05 03:01:58.919 | INFO     | [nexuts:__init__:20] | Nexuts Config : {'snapshot_dir': '/data/nexuts/snapshot_dir', 'snapshot_interval_seconds': 30, 'WalManager_dir': '/data/nexuts/wal_dir', 'db_path': '/data/info_center.db', 'sentry_heartbeat_cycle': 5, 'resume': 1, 'load_balancing_weights': {'prealloc': 0.3, 'inflight': 0.7}}
2025-12-05 03:01:58.920 | INFO     | [persistence.snap_manager:load_snapshot:181] | Loading snapshot snapshot_data [{'id': 0, 'key': None, 'value': None, 'decode_string': None, 'children': [], 'version': 0}]
2025-12-05 03:01:58.922 | INFO     | [nexuts:_recover_from_db:262] | [Recovery] 恢复了 1 个 sentry 节点
2025-12-05 03:01:58.926 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 03:02:08.416 | INFO     | [nexuts:register_instance:204] | [Register] sentry=test_sentry, instance=prefill_001, type=prefill 注册成功
2025-12-05 03:02:08.420 | INFO     | [nexuts:register_instance:204] | [Register] sentry=test_sentry, instance=prefill_002, type=prefill 注册成功
2025-12-05 03:02:08.424 | INFO     | [nexuts:register_instance:204] | [Register] sentry=test_sentry, instance=prefill_003, type=prefill 注册成功
2025-12-05 03:02:10.446 | INFO     | [Api.api:get_best_instance:97] | instances_status: {'prefill_001': True, 'prefill_002': True, 'prefill_003': True}
2025-12-05 03:02:10.447 | INFO     | [Api.api:get_best_instance:98] | instances_metrics: {'prefill_001': {'prealloc_queue': 3.0, 'infight_queue': 2.0, 'weighted_load': 2.3}, 'prefill_002': {'prealloc_queue': 10.0, 'infight_queue': 5.0, 'weighted_load': 6.5}, 'prefill_003': {'prealloc_queue': 2.0, 'infight_queue': 5.0, 'weighted_load': 4.1}}
2025-12-05 03:02:10.452 | INFO     | [Api.api:get_best_instance:97] | instances_status: {'prefill_001': True, 'prefill_002': True, 'prefill_003': True}
2025-12-05 03:02:10.452 | INFO     | [Api.api:get_best_instance:98] | instances_metrics: {'prefill_001': {'prealloc_queue': 10.0, 'infight_queue': 5.0, 'weighted_load': 6.5}, 'prefill_002': {'prealloc_queue': 3.0, 'infight_queue': 3.0, 'weighted_load': 2.9999999999999996}, 'prefill_003': {'prealloc_queue': 8.0, 'infight_queue': 5.0, 'weighted_load': 5.9}}
2025-12-05 03:02:13.415 | INFO     | [Sentry_manager.Sentry:_ping:58] | [Heartbeat] http://127.0.0.1:9992/v1/health FAILED ❌: Failed to perform, curl: (7) Failed to connect to 127.0.0.1 port 9992 after 0 ms: Could not connect to server. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2025-12-05 03:02:28.920 | INFO     | [persistence.snap_manager:take_snapshot:134] | snapshot_trigger_version:4 freeze_finish_version:1
2025-12-05 05:04:36.550 | INFO     | [utils.logger:setup_logger:52] | Logger initialized -> level=INFO, dir=./logs, rotation=200 MB, retention=30 days
2025-12-05 05:04:36.550 | INFO     | [__main__:main:21] | ==== Nexuts Service Starting ====
